Product,Category,Price,Description,Stock
Laptop Pro 15,Electronics,1299.99,High-performance laptop with 16GB RAM and 512GB SSD,45
Wireless Mouse,Accessories,29.99,Ergonomic wireless mouse with long battery life,120
USB-C Cable,Accessories,12.99,Durable USB-C charging cable 6ft length,200
Monitor 27inch,Electronics,399.99,4K UHD monitor with HDR support,32
Keyboard Mechanical,Accessories,89.99,RGB mechanical keyboard with blue switches,67
Laptop Stand,Accessories,34.99,Adjustable aluminum laptop stand,88
Webcam HD,Electronics,79.99,1080p HD webcam with built-in microphone,54
External SSD 1TB,Storage,149.99,Portable external SSD with USB 3.2 Gen 2,75
Phone Case,Accessories,19.99,Protective silicone phone case multiple colors,340
Wireless Charger,Accessories,24.99,Fast wireless charging pad Qi-compatible,156

